id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Marcella;Corrado;Lauriano74@email.it;score negligible difficult;2024-01-09T03:19:44;7461;23160
2;Godeberta;Pizzimenti;Elio.Rosa26@libero.it;season lumpy cloud;2024-01-09T04:04:12;9841;28386
3;Stefano;Bruni;Delizia_Martucci@email.it;defiantly ruckus;2024-01-09T05:06:00;10246;13128
4;Antimo;Paolillo;Eva.Passero10@email.it;readily;2024-01-09T05:15:21;25596;5663
5;Manuela;Sottile;Guendalina.DeCandido@email.it;when;2024-01-08T15:37:20;16977;16153
6;Sesto;Pinna;Colmanno95@libero.it;lustrous absentmindedly finesse;2024-01-08T16:45:51;3502;10470
7;Bino;Daniele;Melchiorre.Negri42@libero.it;whereas;2024-01-09T00:24:37;16609;1754
8;Melissa;Pedroni;Ruperto90@yahoo.it;briskly gad;2024-01-09T09:59:26;24241;13421
9;Berardo;Menconi;Zeno33@libero.it;guilty;2024-01-09T10:47:02;5091;2469
10;Adelasia;Nicastro;Ugolino7@yahoo.it;enshroud;2024-01-09T02:04:36;2860;1756
